Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
Most popular hour for picking up blue cars in Paris: 11p.m,PMWJIW4-17,10016,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:21 PM,14/Aug/21 1:26 PM,14/Aug/21 2:39 PM,14/Aug/21 1:26 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0002v:,,,,,,,,10009,4. Analysis,Done
Integrating the data,PMWJIW4-16,10015,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:20 PM,14/Aug/21 1:26 PM,14/Aug/21 2:39 PM,14/Aug/21 1:26 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0002n:,,,,,,,,10008,3. Data Preparation,Done
Cleaning data,PMWJIW4-15,10014,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:19 PM,14/Aug/21 1:26 PM,14/Aug/21 2:39 PM,14/Aug/21 1:26 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0002f:,,,,,,,,10008,3. Data Preparation,Done
Verifying data quality,PMWJIW4-14,10013,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:16 PM,14/Aug/21 1:25 PM,14/Aug/21 2:39 PM,14/Aug/21 1:25 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i00027:,,,,,,,,10007,2. Data Understanding,Done
Description and Exploration of the data,PMWJIW4-13,10012,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:16 PM,14/Aug/21 1:25 PM,14/Aug/21 2:39 PM,14/Aug/21 1:25 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0001z:,,,,,,,,10007,2. Data Understanding,Done
Overview,PMWJIW4-12,10011,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:16 PM,14/Aug/21 1:25 PM,14/Aug/21 2:39 PM,14/Aug/21 1:25 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0001r:,,,,,,,,10007,2. Data Understanding,Done
5. Recommendation,PMWJIW4-11,10010,Task,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:15 PM,14/Aug/21 1:26 PM,14/Aug/21 1:39 PM,14/Aug/21 1:26 PM,,0,"1.Most popular station should have all charging slots working and not broken

# Most popular postal code ,75015 , should have more stations.

# Optimization such that at the time that most cars are being picked , it is a smooth process.",,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0001j:,,,,,,,,,,Done
4. Analysis,PMWJIW4-10,10009,Task,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:15 PM,14/Aug/21 1:27 PM,14/Aug/21 1:27 PM,14/Aug/21 1:27 PM,,0,"Analysis answered the following questions,",,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0001b:,,,,,,,,,,Done
3. Data Preparation,PMWJIW4-9,10008,Task,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:15 PM,14/Aug/21 1:27 PM,14/Aug/21 1:27 PM,14/Aug/21 1:27 PM,,0,Data set used in the analysis  autolib.csv. Data was loaded to Python and a delimiter used to separate the comma separated values into columns.,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i00013:,,,,,,,,,,Done
2. Data Understanding,PMWJIW4-8,10007,Task,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:15 PM,14/Aug/21 1:27 PM,14/Aug/21 1:27 PM,14/Aug/21 1:27 PM,,0,There are two data sets available for review. One is a description of the main data set to be used in answering the research question. Data set is a sample collected on the usage of shared electric cars in France.,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0000v:,,,,,,,,,,Done
Business Criteria,PMWJIW4-7,10006,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,,,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:12 PM,14/Aug/21 1:25 PM,14/Aug/21 2:39 PM,14/Aug/21 1:25 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0000n:,,,,,,,,10001,1. Business Objectives,Done
Produce Project plan,PMWJIW4-6,10005,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,,,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:12 PM,14/Aug/21 1:25 PM,14/Aug/21 2:39 PM,14/Aug/21 1:25 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i0000f:,,,,,,,,10001,1. Business Objectives,Done
Set Objectives,PMWJIW4-5,10004,Subtask,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,,,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 1:12 PM,14/Aug/21 1:25 PM,14/Aug/21 2:39 PM,14/Aug/21 1:25 PM,,0,,,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|i00007:,,,,,,,,10001,1. Business Objectives,Done
1. Business Objectives,PMWJIW4-2,10001,Task,Done,PMWJIW4,Project Management with JIRA Independent Project Week 4,software,Caleb Muinde,603ad56725b84e0069773762,,Medium,Done,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,Caleb Muinde,603ad56725b84e0069773762,14/Aug/21 12:54 PM,14/Aug/21 1:27 PM,14/Aug/21 1:40 PM,14/Aug/21 1:27 PM,,0,"Main aim is to draw insights from the provided data set to identify an hour of the day when the most blue cars were picked in the month of April, 2018 in Paris.",,Caleb Muinde,603ad56725b84e0069773762,,,,,,,,,,,,,,{},,,,,,,0|hzzzzz:,,,,,,,,,,Done
